Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english
SS_guppyOrganic01,blocks,Terrain,,,,Organic Terrain
SS_guppyOrganic01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyPebbles01,blocks,Terrain,,,,Pebbles Terrain
SS_guppyPebbles01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyRock01,blocks,Terrain,,,,Rock Terrain
SS_guppyRock01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyRock02,blocks,Terrain,,,,Rock 2 Terrain
SS_guppyRock02Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppySand01,blocks,Terrain,,,,Sand Pebbles Terrain
SS_guppySand01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppySand02,blocks,Terrain,,,,Sandy Rock Terrain
SS_guppySand02Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppySand03,blocks,Terrain,,,,White Sand Terrain
SS_guppySand03Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppySnow01,blocks,Terrain,,,,Soft Snow Terrain
SS_guppySnow01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyStone01,blocks,Terrain,,,,Stone Wall Terrain
SS_guppyStone01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyStone01_2,blocks,Terrain,,,,Stone Wall 8x8 Terrain
SS_guppyStone01_2Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyStone02,blocks,Terrain,,,,Path Stone 2 Terrain
SS_guppyStone02Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyStone03,blocks,Terrain,,,,Stone Wall 2 Terrain
SS_guppyStone03Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyStone04,blocks,Terrain,,,,Path Stone 3 Terrain
SS_guppyStone04Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyStone05,blocks,Terrain,,,,Path Stone 4 Terrain
SS_guppyStone05Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyMud01,blocks,Terrain,,,,Mud Stone Terrain
SS_guppyMud01Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_guppyOrganic02,blocks,Terrain,,,,Organic 2 Terrain
SS_guppyOrganic02Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundGrass1,blocks,Terrain,,,,Grass Terrain
SS_TGroundGrass1Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundGrass2,blocks,Terrain,,,,Grass 2 Terrain
SS_TGroundGrass2Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundGrass3,blocks,Terrain,,,,Dead Grass Terrain
SS_TGroundGrass3Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundGrass4,blocks,Terrain,,,,Dead Grass 2 Terrain
SS_TGroundGrass4Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundGrassLeaves1,blocks,Terrain,,,,Grass with Leaves Terrain
SS_TGroundGrassLeaves1Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundGrassLeaves2,blocks,Terrain,,,,Grass with Leaves 2 Terrain
SS_TGroundGrassLeaves2Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundGrassLeaves3,blocks,Terrain,,,,Grass with Leaves 3 Terrain
SS_TGroundGrassLeaves3Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundGrassLeaves4,blocks,Terrain,,,,Grass with Leaves 4 Terrain
SS_TGroundGrassLeaves4Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundLitter1,blocks,Terrain,,,,Forest Clovers Terrain
SS_TGroundLitter1Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundLitter2,blocks,Terrain,,,,Forest Sticks Terrain
SS_TGroundLitter2Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundLitter3,blocks,Terrain,,,,Forest Mossy Grass Terrain
SS_TGroundLitter3Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundMoss1,blocks,Terrain,,,,Moss Terrain
SS_TGroundMoss1Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundMud2,blocks,Terrain,,,,Mud Terrain
SS_TGroundMud2Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundMud3,blocks,Terrain,,,,Rough Mud Terrain
SS_TGroundMud3Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundMudRock4,blocks,Terrain,,,,Rocky Mud Terrain
SS_TGroundMudRock4Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundRoadPath1,blocks,Terrain,,,,Path Stone 5 Terrain
SS_TGroundRoadPath1Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundRoadPath2,blocks,Terrain,,,,Path Gravel 6 Terrain
SS_TGroundRoadPath2Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundRoadPath3,blocks,Terrain,,,,Path Mossy Stone Terrain
SS_TGroundRoadPath3Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundRock1,blocks,Terrain,,,,Rock 3 Terrain
SS_TGroundRock1Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundRock2,blocks,Terrain,,,,Rock 4 Terrain
SS_TGroundRock2Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundRock3,blocks,Terrain,,,,Rock 5 Terrain
SS_TGroundRock3Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundRock4,blocks,Terrain,,,,Mossy Rock 2 Terrain
SS_TGroundRock4Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundRock5,blocks,Terrain,,,,Rock 6 Terrain
SS_TGroundRock5Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundRock6,blocks,Terrain,,,,Rock 7 Terrain
SS_TGroundRock6Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundRock7,blocks,Terrain,,,,Rock 8 Terrain
SS_TGroundRock7Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TGroundRock8,blocks,Terrain,,,,Mossy Rock 3 Terrain
SS_TGroundRock8Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TSnowGround5,blocks,Terrain,,,,Snow Sleet Terrain
SS_TSnowGround5Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_TSnowGroundGrass2,blocks,Terrain,,,,Snow Grass Terrain
SS_TSnowGroundGrass2Desc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
SS_FrozenIce,blocks,Terrain,,,,Frozen Ice Terrain
SS_FrozenIceDesc,blocks,Terrain,,,,Terrain added by SS Terrain Mod by LxSun. More than 2 textures in an area will cause weird visual problems... we recommend you cover those with trees and bushes.
